source,target,collaboration,collaboration_weight,evidence_tracks,evidence_albums,evidence_release_dates,evidence_urls
Bladee,Ecco2k,1,43,COLD VISIONS (OUTRO 2); DiSASTER PRELUDE; The Flag is Raised; 5 Star Crest (4 Vattenrum); White Meadow; Faust; Yeses (Red Cross); Desire is a Trap; Chaos Follows; Girls Just Want to Have Fun,Cold Visions; Spiderr; Crest; Crest; Crest; Crest; Crest; Crest; Crest; Crest,2024-04-24; 2022-09-30; 2022-03-18; 2022-03-18; 2022-03-18; 2022-03-18; 2022-03-18; 2022-03-18; 2022-03-18; 2022-03-18,https://open.spotify.com/track/7jCBIr3olej8VJayKPg30c; https://open.spotify.com/track/1yA52ETTFmGPb0uJYShoAu; https://open.spotify.com/track/7mebNFbb0ehL1IX1DMktdC; https://open.spotify.com/track/62ULDRgBvShFOFQoz4mTEb; https://open.spotify.com/track/6P6ePnHNkEnoQFoSsoFJV6; https://open.spotify.com/track/0Nrd79QrK5WXiqxKMgTUX3; https://open.spotify.com/track/0R0czNP4FyJC842cXqRfNF; https://open.spotify.com/track/3xTUOCFRAsBHVFuwhpv5t3; https://open.spotify.com/track/3JA9NLn4RBWjqACyoQhNLV; https://open.spotify.com/track/7hvwgwbZCCGZaNRQSf8bin
Oklou,underscores,1,12,harvest sky - Danny L Harle C Mix; harvest sky - Milkfish Remix; harvest sky; harvest sky - Milkfish Remix; harvest sky - Danny L Harle C Mix; harvest sky; harvest sky; harvest sky; harvest sky; harvest sky,harvest sky (remixes); harvest sky (remixes); harvest sky (remixes); harvest sky (Milkfish Remix); harvest sky (Danny L Harle C Mix); harvest sky; choke enough; choke enough (Deluxe); take me by the hand (feat. Bladee); choke enough,2024-12-18; 2024-12-18; 2024-12-18; 2024-12-17; 2024-12-17; 2024-10-16; 2025-02-07; 2025-10-30; 2025-01-16; 2024-11-21,https://open.spotify.com/track/5ek4K8m5TSblOvUrpb2T68; https://open.spotify.com/track/2SkjhZH2wnTLT7ofpo3ZlZ; https://open.spotify.com/track/2rKCLi8RVhVljb5Sh7sGsm; https://open.spotify.com/track/3uvnclqcWCFK7z02UIYkNH; https://open.spotify.com/track/5vt66cgX15qtCysaaCdoX0; https://open.spotify.com/track/7JeKcEaXO31yqjtN3ymUcE; https://open.spotify.com/track/3M8bJdRfYj1S5iKZIgwAnH; https://open.spotify.com/track/4qUaD1MHcKk7gLawTIkCiP; https://open.spotify.com/track/4TVJdCA52un1zbLXWWA1rH; https://open.spotify.com/track/6ChWVW8O0LAdzf6X1fKgSP
Dean Blunt,Elias Rønnenfelt,1,10,1; 2; 3; 4; 5; 6; 7; tears on his rings and chains; repeat offenders; Smile Please,lucre; lucre; lucre; lucre; lucre; lucre; lucre; tears on his rings and chains; Backstage Raver; Smile Please,2025-02-07; 2025-02-07; 2025-02-07; 2025-02-07; 2025-02-07; 2025-02-07; 2025-02-07; 2025-08-15; 2024-05-27; 2023-04-20,https://open.spotify.com/track/47J3UVkoAlEEcr4tguk4ph; https://open.spotify.com/track/6eLfGGLdhv4x5IPl7N88AS; https://open.spotify.com/track/54CKM5iLlF81weoHcXx9Jm; https://open.spotify.com/track/3W9INBEJLZwnBZlbGHz8P2; https://open.spotify.com/track/7CK4bpTIiYWYp478jgSlgp; https://open.spotify.com/track/7IWpPYXDx7jKcPDr9Wphca; https://open.spotify.com/track/6f0QzlymhzFNEm14kw2TDa; https://open.spotify.com/track/7DigNxE6prVBzj4sPJopkT; https://open.spotify.com/track/3shd5Gvr4TuotVS2Q8l0GO; https://open.spotify.com/track/0WbuDhRzi9VQdz1qmUY47l
Bladee,Oklou,1,9,take me by the hand; take me by the hand; take me by the hand; take me by the hand; Rainbow - make it double Oklou Mix; take me by the hand - Aaron Hibell remix; take me by the hand; Rainbow - make it double Oklou Mix; take me by the hand - Aaron Hibell remix,choke enough; choke enough (Deluxe); take me by the hand (feat. Bladee); blade bird; Good Luck (Deluxe); take me by the hand (Aaron Hibell remix); take me by the hand (Aaron Hibell remix); Rainbow (make it double Oklou Mix); choke enough (remixes),2025-02-07; 2025-10-30; 2025-01-16; 2025-02-05; 2021-05-11; 2025-06-24; 2025-06-24; 2021-03-19; 2025-06-25,https://open.spotify.com/track/1oo8xwvtRep4Frhrpte5Eg; https://open.spotify.com/track/44bXaII5bLypYmhVGoZjon; https://open.spotify.com/track/6rTgjvKEp1SABOBebNsLkm; https://open.spotify.com/track/0m3TeZU2R4bhp3iQcUVJ6F; https://open.spotify.com/track/76VqIl6O9RtfS3KnbXS2Y3; https://open.spotify.com/track/6wtzU740nPNrISiUyFjLyc; https://open.spotify.com/track/1FiyPGjxAFATNcQUxOPzU7; https://open.spotify.com/track/10QmGSAytqJ8W6mfvmZcAN; https://open.spotify.com/track/36Q9TwqPRjphyQhXls9UL8
A. G. Cook,Oklou,1,4,fall - A. G. Cook Remix; galore - A. G. Cook Remix; Being Harsh; Being Harsh,fall / galore (A. G. Cook Remixes); fall / galore (A. G. Cook Remixes); Being Harsh; Apple vs. 7G,2021-06-02; 2021-06-02; 2021-05-20; 2021-05-28,https://open.spotify.com/track/6vMeXp1h2yRUsmw7fX5j67; https://open.spotify.com/track/5WxmxiAJS0CcTUwb9DkXyR; https://open.spotify.com/track/7cBYrtO9GVDPKVZIpwVrKd; https://open.spotify.com/track/5cYsnjGhMyUcy4PwyehOGp
Ecco2k,Nation,1,3,Nobody's Fault; Touch; Ça Va,Nation 2; Nation 2; Ça Va,2025-05-18; 2025-05-18; 2023-06-08,https://open.spotify.com/track/4zAPLPwKiNwsHn27oVhuIU; https://open.spotify.com/track/2WfKw9Ke0Q5Ytb0CUXqBU5; https://open.spotify.com/track/2cEGDFroaSagUGVGr3Mrb8
Jane Remover,underscores,1,2,Uncanny long arms (with Jane Remover); Uncanny long arms (with Jane Remover),Wallsocket; Wallsocket (Director's Cut),2023-09-22; 2024-06-28,https://open.spotify.com/track/3jC2Ic2TzkF9MA7C3y6SDi; https://open.spotify.com/track/3TgRUKSa9xQna3x0mSFwuz
A. G. Cook,Bladee,1,2,Rewind featuring bladee; Rewind featuring bladee,Rewind featuring bladee; Brat and it’s completely different but also still brat,2024-10-10; 2024-10-14,https://open.spotify.com/track/2DYEpPQYwuaKORz2slWUfH; https://open.spotify.com/track/671CE4Sd2GNd46cyjNOHsO
daine,underscores,1,1,"It's You - underscores' ""It’s U"" Remix","It's You (underscores' ""It’s U"" Remix)",2026-02-18,https://open.spotify.com/track/3YQoG8Ey0eYsLS9yAmeHK1
Jane Remover,Lucy Bedroque,1,1,Audiostalker,Dreamflasher,2025-09-12,https://open.spotify.com/track/0GCLeBjZ5zbJYRaD2i8Ta4
