artist,degree,degree_centrality,betweenness_centrality,community,genres,popularity,followers
Bladee,4,0.1379,0.0296,2,cloud rap; hyperpop,68,692266
underscores,3,0.1034,0.0419,1,hyperpop,63,220019
Oklou,3,0.1034,0.0394,1,art pop; hyperpop,61,300435
Jane Remover,2,0.069,0.0172,1,hyperpop; electroclash,61,259935
Elias Rønnenfelt,2,0.069,0.0025,3,,54,37527
A. G. Cook,2,0.069,0.0,1,hyperpop,54,236059
Nation,2,0.069,0.0,2,electroclash; witch house,31,14561
Ecco2k,2,0.069,0.0,2,cloud rap; hyperpop,60,384733
Lucy Bedroque,1,0.0345,0.0,1,hyperpop; rage rap; cloud rap,63,193075
daine,1,0.0345,0.0,1,hyperpop,46,38429
Dean Blunt,1,0.0345,0.0,3,,67,595714
The Dare,1,0.0345,0.0,3,electroclash,53,189566
ear,0,0.0,0.0,4,electroclash,52,60877
Mk.gee,0,0.0,0.0,5,,61,519649
ML Buch,0,0.0,0.0,6,,42,62421
Chanel Beads,0,0.0,0.0,7,lo-fi indie,49,63494
Sophia Stel,0,0.0,0.0,8,,50,34147
Bassvictim,0,0.0,0.0,9,electroclash; hyperpop; witch house,57,131554
The Hellp,0,0.0,0.0,10,electroclash; new rave; hyperpop,56,137377
the sound chalk makes,0,0.0,0.0,11,hyperpop; electroclash,33,5821
Horse Vision,0,0.0,0.0,12,,35,9621
Mother Soki,0,0.0,0.0,13,,50,36723
bar italia,0,0.0,0.0,14,lo-fi indie,42,96608
james K,0,0.0,0.0,15,,47,46283
mark william lewis,0,0.0,0.0,16,,44,40569
Nourished by Time,0,0.0,0.0,17,indie electronic,46,66093
Alex G,0,0.0,0.0,18,,75,4093146
King Krule,0,0.0,0.0,19,,60,1026903
BABii,0,0.0,0.0,20,hyperpop,27,22954
2hollis,0,0.0,0.0,21,hyperpop; electroclash,67,724288
