track_id,track_name,album_id,album_name,album_type,release_date,all_track_artist_names,sample_artist_names,n_sample_artists_on_track,track_url
0GCLeBjZ5zbJYRaD2i8Ta4,Audiostalker,7qwKXu7ddq2wAIeyZFeQLd,Dreamflasher,single,2025-09-12,Jane Remover; Lucy Bedroque,Jane Remover; Lucy Bedroque,2,https://open.spotify.com/track/0GCLeBjZ5zbJYRaD2i8Ta4
3jC2Ic2TzkF9MA7C3y6SDi,Uncanny long arms (with Jane Remover),0mQPq9INcTC48siErksOrl,Wallsocket,album,2023-09-22,underscores; Jane Remover,underscores; Jane Remover,2,https://open.spotify.com/track/3jC2Ic2TzkF9MA7C3y6SDi
3TgRUKSa9xQna3x0mSFwuz,Uncanny long arms (with Jane Remover),2mrk587YCQnJhjZnCCznIv,Wallsocket (Director's Cut),album,2024-06-28,underscores; Jane Remover,underscores; Jane Remover,2,https://open.spotify.com/track/3TgRUKSa9xQna3x0mSFwuz
3YQoG8Ey0eYsLS9yAmeHK1,"It's You - underscores' ""It’s U"" Remix",68KwMNXlguxjAnGkNaEMaX,"It's You (underscores' ""It’s U"" Remix)",single,2026-02-18,Ninajirachi; daine; underscores,daine; underscores,2,https://open.spotify.com/track/3YQoG8Ey0eYsLS9yAmeHK1
5ek4K8m5TSblOvUrpb2T68,harvest sky - Danny L Harle C Mix,4anklMobedKj0x9nIhJT8Y,harvest sky (remixes),single,2024-12-18,Oklou; underscores; Danny L Harle,Oklou; underscores,2,https://open.spotify.com/track/5ek4K8m5TSblOvUrpb2T68
2SkjhZH2wnTLT7ofpo3ZlZ,harvest sky - Milkfish Remix,4anklMobedKj0x9nIhJT8Y,harvest sky (remixes),single,2024-12-18,Oklou; underscores; MILKFISH,Oklou; underscores,2,https://open.spotify.com/track/2SkjhZH2wnTLT7ofpo3ZlZ
2rKCLi8RVhVljb5Sh7sGsm,harvest sky,4anklMobedKj0x9nIhJT8Y,harvest sky (remixes),single,2024-12-18,Oklou; underscores,Oklou; underscores,2,https://open.spotify.com/track/2rKCLi8RVhVljb5Sh7sGsm
3uvnclqcWCFK7z02UIYkNH,harvest sky - Milkfish Remix,3S71YSnyVMlW9T6D4b4Mhh,harvest sky (Milkfish Remix),single,2024-12-17,Oklou; underscores; MILKFISH,Oklou; underscores,2,https://open.spotify.com/track/3uvnclqcWCFK7z02UIYkNH
5vt66cgX15qtCysaaCdoX0,harvest sky - Danny L Harle C Mix,1AdKiZbegYfgwfyFk9rNc1,harvest sky (Danny L Harle C Mix),single,2024-12-17,Oklou; underscores; Danny L Harle,Oklou; underscores,2,https://open.spotify.com/track/5vt66cgX15qtCysaaCdoX0
7JeKcEaXO31yqjtN3ymUcE,harvest sky,7JFVnYkvBSZutUnSGsKxyh,harvest sky,single,2024-10-16,Oklou; underscores,Oklou; underscores,2,https://open.spotify.com/track/7JeKcEaXO31yqjtN3ymUcE
1oo8xwvtRep4Frhrpte5Eg,take me by the hand,4TQqRcEliluExEwsmWVenF,choke enough,album,2025-02-07,Oklou; Bladee,Oklou; Bladee,2,https://open.spotify.com/track/1oo8xwvtRep4Frhrpte5Eg
3M8bJdRfYj1S5iKZIgwAnH,harvest sky,4TQqRcEliluExEwsmWVenF,choke enough,album,2025-02-07,Oklou; underscores,Oklou; underscores,2,https://open.spotify.com/track/3M8bJdRfYj1S5iKZIgwAnH
44bXaII5bLypYmhVGoZjon,take me by the hand,1TaVbSLBnUQwfcld3tDAUI,choke enough (Deluxe),album,2025-10-30,Oklou; Bladee,Oklou; Bladee,2,https://open.spotify.com/track/44bXaII5bLypYmhVGoZjon
4qUaD1MHcKk7gLawTIkCiP,harvest sky,1TaVbSLBnUQwfcld3tDAUI,choke enough (Deluxe),album,2025-10-30,Oklou; underscores,Oklou; underscores,2,https://open.spotify.com/track/4qUaD1MHcKk7gLawTIkCiP
