artist,genre_community,collaboration_community
Jane Remover,1,1
the sound chalk makes,1,11
2hollis,1,21
daine,2,1
underscores,2,1
A. G. Cook,2,1
BABii,2,20
Bladee,2,2
Ecco2k,2,2
Bassvictim,1,9
ear,1,4
The Dare,1,3
The Hellp,1,10
Oklou,2,1
Nation,1,2
Lucy Bedroque,2,1
Chanel Beads,3,7
bar italia,3,14
Mk.gee,4,5
ML Buch,5,6
Sophia Stel,6,8
Horse Vision,7,12
Mother Soki,8,13
james K,9,15
Elias Rønnenfelt,10,3
mark william lewis,11,16
Nourished by Time,12,17
Alex G,13,18
Dean Blunt,14,3
King Krule,15,19
