source,target,source_spotify_id,target_spotify_id,source_genres,target_genres,shared_genres,shared_genres_count,jaccard_similarity
Jane Remover,ear,2rLGlNI6htigNxx172qxLu,3bABCGLkFvjnNIKHvPVHDG,electroclash; hyperpop,electroclash,electroclash,1,0.5
Jane Remover,Bassvictim,2rLGlNI6htigNxx172qxLu,7f8ydynRRnrJBqWxevKLcM,electroclash; hyperpop,electroclash; hyperpop; witch house,electroclash; hyperpop,2,0.6667
Jane Remover,The Hellp,2rLGlNI6htigNxx172qxLu,5DslL3PUa3BcRlCCEP64A4,electroclash; hyperpop,electroclash; hyperpop; new rave,electroclash; hyperpop,2,0.6667
Jane Remover,the sound chalk makes,2rLGlNI6htigNxx172qxLu,4uiFRdH1ESOicHwBuTbsY5,electroclash; hyperpop,electroclash; hyperpop,electroclash; hyperpop,2,1.0
Jane Remover,Lucy Bedroque,2rLGlNI6htigNxx172qxLu,2I8H267eH5va9da4vGt38O,electroclash; hyperpop,cloud rap; hyperpop; rage rap,hyperpop,1,0.25
Jane Remover,daine,2rLGlNI6htigNxx172qxLu,4lyCoxLN0aW7nJy5rec0tG,electroclash; hyperpop,hyperpop,hyperpop,1,0.5
Jane Remover,underscores,2rLGlNI6htigNxx172qxLu,7HfUJxeVTgrvhk0eWHFzV7,electroclash; hyperpop,hyperpop,hyperpop,1,0.5
Jane Remover,Bladee,2rLGlNI6htigNxx172qxLu,2xvtxDNInKDV4AvGmjw6d1,electroclash; hyperpop,cloud rap; hyperpop,hyperpop,1,0.3333
Jane Remover,Oklou,2rLGlNI6htigNxx172qxLu,6fFcUOFcbjeIuEomuUthkw,electroclash; hyperpop,art pop; hyperpop,hyperpop,1,0.3333
Jane Remover,A. G. Cook,2rLGlNI6htigNxx172qxLu,335TWGWGFan4vaacJzSiU8,electroclash; hyperpop,hyperpop,hyperpop,1,0.5
Jane Remover,Nation,2rLGlNI6htigNxx172qxLu,03D2b6ATNCne8B3D251ncQ,electroclash; hyperpop,electroclash; witch house,electroclash,1,0.3333
Jane Remover,The Dare,2rLGlNI6htigNxx172qxLu,2mqiqsaX4LzFnUP7PmHGAb,electroclash; hyperpop,electroclash,electroclash,1,0.5
Jane Remover,Ecco2k,2rLGlNI6htigNxx172qxLu,6hG0VsXXlD10l60TqiIHIX,electroclash; hyperpop,cloud rap; hyperpop,hyperpop,1,0.3333
Jane Remover,BABii,2rLGlNI6htigNxx172qxLu,30qGwXnygZNCzxjN7QsIR0,electroclash; hyperpop,hyperpop,hyperpop,1,0.5
Jane Remover,2hollis,2rLGlNI6htigNxx172qxLu,72NhFAGG5Pt91VbheJeEPG,electroclash; hyperpop,electroclash; hyperpop,electroclash; hyperpop,2,1.0
ear,Bassvictim,3bABCGLkFvjnNIKHvPVHDG,7f8ydynRRnrJBqWxevKLcM,electroclash,electroclash; hyperpop; witch house,electroclash,1,0.3333
ear,The Hellp,3bABCGLkFvjnNIKHvPVHDG,5DslL3PUa3BcRlCCEP64A4,electroclash,electroclash; hyperpop; new rave,electroclash,1,0.3333
ear,the sound chalk makes,3bABCGLkFvjnNIKHvPVHDG,4uiFRdH1ESOicHwBuTbsY5,electroclash,electroclash; hyperpop,electroclash,1,0.5
ear,Nation,3bABCGLkFvjnNIKHvPVHDG,03D2b6ATNCne8B3D251ncQ,electroclash,electroclash; witch house,electroclash,1,0.5
ear,The Dare,3bABCGLkFvjnNIKHvPVHDG,2mqiqsaX4LzFnUP7PmHGAb,electroclash,electroclash,electroclash,1,1.0
ear,2hollis,3bABCGLkFvjnNIKHvPVHDG,72NhFAGG5Pt91VbheJeEPG,electroclash,electroclash; hyperpop,electroclash,1,0.5
