artist,degree,degree_centrality,betweenness_centrality,community,n_genres,genres,popularity,followers
Jane Remover,10,0.3448,0.0357,1,2,hyperpop; electroclash,61,259935
the sound chalk makes,10,0.3448,0.0357,1,2,hyperpop; electroclash,33,5821
2hollis,10,0.3448,0.0357,1,2,hyperpop; electroclash,67,724288
daine,9,0.3103,0.0216,2,1,hyperpop,46,38429
underscores,9,0.3103,0.0216,2,1,hyperpop,63,220019
A. G. Cook,9,0.3103,0.0216,2,1,hyperpop,54,236059
BABii,9,0.3103,0.0216,2,1,hyperpop,27,22954
Bladee,6,0.2069,0.016,2,2,cloud rap; hyperpop,68,692266
Ecco2k,6,0.2069,0.016,2,2,cloud rap; hyperpop,60,384733
Bassvictim,5,0.1724,0.0115,1,3,electroclash; hyperpop; witch house,57,131554
ear,5,0.1724,0.009,1,1,electroclash,52,60877
The Dare,5,0.1724,0.009,1,1,electroclash,53,189566
The Hellp,4,0.1379,0.0,1,3,electroclash; new rave; hyperpop,56,137377
Oklou,4,0.1379,0.0,2,2,art pop; hyperpop,61,300435
Nation,3,0.1034,0.0012,1,2,electroclash; witch house,31,14561
Lucy Bedroque,2,0.069,0.0,2,3,hyperpop; rage rap; cloud rap,63,193075
Chanel Beads,1,0.0345,0.0,3,1,lo-fi indie,49,63494
bar italia,1,0.0345,0.0,3,1,lo-fi indie,42,96608
Mk.gee,0,0.0,0.0,4,0,,61,519649
ML Buch,0,0.0,0.0,5,0,,42,62421
Sophia Stel,0,0.0,0.0,6,0,,50,34147
Horse Vision,0,0.0,0.0,7,0,,35,9621
Mother Soki,0,0.0,0.0,8,0,,50,36723
james K,0,0.0,0.0,9,0,,47,46283
Elias Rønnenfelt,0,0.0,0.0,10,0,,54,37527
mark william lewis,0,0.0,0.0,11,0,,44,40569
Nourished by Time,0,0.0,0.0,12,1,indie electronic,46,66093
Alex G,0,0.0,0.0,13,0,,75,4093146
Dean Blunt,0,0.0,0.0,14,0,,67,595714
King Krule,0,0.0,0.0,15,0,,60,1026903
