source,target,source_spotify_id,target_spotify_id,source_genres,target_genres,shared_genres,shared_genres_count,jaccard_similarity,pair_key,collaboration,collaboration_weight,evidence_tracks
Jane Remover,ear,2rLGlNI6htigNxx172qxLu,3bABCGLkFvjnNIKHvPVHDG,electroclash; hyperpop,electroclash,electroclash,1,0.5,Jane Remover|||ear,0,0,
Jane Remover,Mk.gee,2rLGlNI6htigNxx172qxLu,7tr9pbgNEKtG0GQTKe08Tz,electroclash; hyperpop,,,0,0.0,Jane Remover|||Mk.gee,0,0,
Jane Remover,ML Buch,2rLGlNI6htigNxx172qxLu,3NsSv8HchEwfa7bGkjb4ZC,electroclash; hyperpop,,,0,0.0,Jane Remover|||ML Buch,0,0,
Jane Remover,Chanel Beads,2rLGlNI6htigNxx172qxLu,3x11XrMEnyP18hv73pmKRL,electroclash; hyperpop,lo-fi indie,,0,0.0,Chanel Beads|||Jane Remover,0,0,
Jane Remover,Sophia Stel,2rLGlNI6htigNxx172qxLu,18w9tq3c2x11niEFNYqeex,electroclash; hyperpop,,,0,0.0,Jane Remover|||Sophia Stel,0,0,
Jane Remover,Bassvictim,2rLGlNI6htigNxx172qxLu,7f8ydynRRnrJBqWxevKLcM,electroclash; hyperpop,electroclash; hyperpop; witch house,electroclash; hyperpop,2,0.6667,Bassvictim|||Jane Remover,0,0,
Jane Remover,The Hellp,2rLGlNI6htigNxx172qxLu,5DslL3PUa3BcRlCCEP64A4,electroclash; hyperpop,electroclash; hyperpop; new rave,electroclash; hyperpop,2,0.6667,Jane Remover|||The Hellp,0,0,
Jane Remover,the sound chalk makes,2rLGlNI6htigNxx172qxLu,4uiFRdH1ESOicHwBuTbsY5,electroclash; hyperpop,electroclash; hyperpop,electroclash; hyperpop,2,1.0,Jane Remover|||the sound chalk makes,0,0,
Jane Remover,Lucy Bedroque,2rLGlNI6htigNxx172qxLu,2I8H267eH5va9da4vGt38O,electroclash; hyperpop,cloud rap; hyperpop; rage rap,hyperpop,1,0.25,Jane Remover|||Lucy Bedroque,1,1,Audiostalker
Jane Remover,Horse Vision,2rLGlNI6htigNxx172qxLu,28gAkTGnjn8QZllb4EU4OM,electroclash; hyperpop,,,0,0.0,Horse Vision|||Jane Remover,0,0,
Jane Remover,Mother Soki,2rLGlNI6htigNxx172qxLu,08W3G3y83p0TLqqjiyKXBk,electroclash; hyperpop,,,0,0.0,Jane Remover|||Mother Soki,0,0,
Jane Remover,bar italia,2rLGlNI6htigNxx172qxLu,6tYmTHApvspl6KAgTfHjAY,electroclash; hyperpop,lo-fi indie,,0,0.0,Jane Remover|||bar italia,0,0,
Jane Remover,daine,2rLGlNI6htigNxx172qxLu,4lyCoxLN0aW7nJy5rec0tG,electroclash; hyperpop,hyperpop,hyperpop,1,0.5,Jane Remover|||daine,0,0,
Jane Remover,james K,2rLGlNI6htigNxx172qxLu,25BObiRSDCMwVrBGIVaLIf,electroclash; hyperpop,,,0,0.0,Jane Remover|||james K,0,0,
Jane Remover,underscores,2rLGlNI6htigNxx172qxLu,7HfUJxeVTgrvhk0eWHFzV7,electroclash; hyperpop,hyperpop,hyperpop,1,0.5,Jane Remover|||underscores,1,2,Uncanny long arms (with Jane Remover); Uncanny long arms (with Jane Remover)
Jane Remover,Elias Rønnenfelt,2rLGlNI6htigNxx172qxLu,1sMYEFib6APIW3JjkY8pYS,electroclash; hyperpop,,,0,0.0,Elias Rønnenfelt|||Jane Remover,0,0,
Jane Remover,Bladee,2rLGlNI6htigNxx172qxLu,2xvtxDNInKDV4AvGmjw6d1,electroclash; hyperpop,cloud rap; hyperpop,hyperpop,1,0.3333,Bladee|||Jane Remover,0,0,
Jane Remover,mark william lewis,2rLGlNI6htigNxx172qxLu,2r5elgyPQ19vDG3xSQn39k,electroclash; hyperpop,,,0,0.0,Jane Remover|||mark william lewis,0,0,
Jane Remover,Nourished by Time,2rLGlNI6htigNxx172qxLu,7zNkqI6qRr0OJ4XO1Pw29g,electroclash; hyperpop,indie electronic,,0,0.0,Jane Remover|||Nourished by Time,0,0,
Jane Remover,Alex G,2rLGlNI6htigNxx172qxLu,6lcwlkAjBPSKnFBZjjZFJs,electroclash; hyperpop,,,0,0.0,Alex G|||Jane Remover,0,0,
Jane Remover,Oklou,2rLGlNI6htigNxx172qxLu,6fFcUOFcbjeIuEomuUthkw,electroclash; hyperpop,art pop; hyperpop,hyperpop,1,0.3333,Jane Remover|||Oklou,0,0,
Jane Remover,Dean Blunt,2rLGlNI6htigNxx172qxLu,5CFSYjc0PAiQvndFjafabk,electroclash; hyperpop,,,0,0.0,Dean Blunt|||Jane Remover,0,0,
Jane Remover,King Krule,2rLGlNI6htigNxx172qxLu,4wyNyxs74Ux8UIDopNjIai,electroclash; hyperpop,,,0,0.0,Jane Remover|||King Krule,0,0,
Jane Remover,A. G. Cook,2rLGlNI6htigNxx172qxLu,335TWGWGFan4vaacJzSiU8,electroclash; hyperpop,hyperpop,hyperpop,1,0.5,A. G. Cook|||Jane Remover,0,0,
Jane Remover,Nation,2rLGlNI6htigNxx172qxLu,03D2b6ATNCne8B3D251ncQ,electroclash; hyperpop,electroclash; witch house,electroclash,1,0.3333,Jane Remover|||Nation,0,0,
Jane Remover,The Dare,2rLGlNI6htigNxx172qxLu,2mqiqsaX4LzFnUP7PmHGAb,electroclash; hyperpop,electroclash,electroclash,1,0.5,Jane Remover|||The Dare,0,0,
Jane Remover,Ecco2k,2rLGlNI6htigNxx172qxLu,6hG0VsXXlD10l60TqiIHIX,electroclash; hyperpop,cloud rap; hyperpop,hyperpop,1,0.3333,Ecco2k|||Jane Remover,0,0,
Jane Remover,BABii,2rLGlNI6htigNxx172qxLu,30qGwXnygZNCzxjN7QsIR0,electroclash; hyperpop,hyperpop,hyperpop,1,0.5,BABii|||Jane Remover,0,0,
Jane Remover,2hollis,2rLGlNI6htigNxx172qxLu,72NhFAGG5Pt91VbheJeEPG,electroclash; hyperpop,electroclash; hyperpop,electroclash; hyperpop,2,1.0,2hollis|||Jane Remover,0,0,
ear,Mk.gee,3bABCGLkFvjnNIKHvPVHDG,7tr9pbgNEKtG0GQTKe08Tz,electroclash,,,0,0.0,Mk.gee|||ear,0,0,
ear,ML Buch,3bABCGLkFvjnNIKHvPVHDG,3NsSv8HchEwfa7bGkjb4ZC,electroclash,,,0,0.0,ML Buch|||ear,0,0,
ear,Chanel Beads,3bABCGLkFvjnNIKHvPVHDG,3x11XrMEnyP18hv73pmKRL,electroclash,lo-fi indie,,0,0.0,Chanel Beads|||ear,0,0,
ear,Sophia Stel,3bABCGLkFvjnNIKHvPVHDG,18w9tq3c2x11niEFNYqeex,electroclash,,,0,0.0,Sophia Stel|||ear,0,0,
ear,Bassvictim,3bABCGLkFvjnNIKHvPVHDG,7f8ydynRRnrJBqWxevKLcM,electroclash,electroclash; hyperpop; witch house,electroclash,1,0.3333,Bassvictim|||ear,0,0,
ear,The Hellp,3bABCGLkFvjnNIKHvPVHDG,5DslL3PUa3BcRlCCEP64A4,electroclash,electroclash; hyperpop; new rave,electroclash,1,0.3333,The Hellp|||ear,0,0,
ear,the sound chalk makes,3bABCGLkFvjnNIKHvPVHDG,4uiFRdH1ESOicHwBuTbsY5,electroclash,electroclash; hyperpop,electroclash,1,0.5,ear|||the sound chalk makes,0,0,
